branch_name	branch_name_ru
Curator	куратор
Klemmt	зажим
Goldschere	золотые ножницы
Aktien	акции
Gartenzwerg	садовый гном
Bizarrlady	Бизаррледи
Namaskar	Намаскар
Heilpraktiker Fußreflexbehandlung	натуропатия: рефлексотерапия стоп
Kastanien	каштаны
Familien	семья
Legasthenie	дислексия
Katzenfriseur	кошачий грумер
Salvea	Сальвеа
Hotelpension	гостевой дом
Bodky	Бодки
Lebenskunst	искусство жизни
Brennt	горит
Boomers	бумеры
Konditorei	кондитерская
Lieblings	любимое
Mehrwert	добавленная стоимость
Flight	флайт
Spielhalle	игровой зал
Buchstabe	буква
Kirsche	вишня
Judo	дзюдо
Ausbildungen	обучение
Aldente	Аль денте
Aufzugsdienst	лифтовая служба
Hundezucht	разведение собак
Outdoor-Aktivität	активный отдых
Seelsorge	душепопечение
Trachten	национальные костюмы
Brautkleider	свадебные платья
Kavaliershaus	кавалерский дом
Vorort	пригород
Einkauf	покупки
Friedhofs- und Gartenbauamt	управление кладбищ и садоводства
Knoten	узел
Prospekt	проспект
Bäcker-Innung	гильдия пекарей
Kunsttransporte	перевозка произведений искусства
Schokoladenmuseum	музей шоколада
Dirndl	дирндль
Player	плеер
Kiesgrube	гравийный карьер
Ballonshop	магазин воздушных шаров
Puppe	кукла
Herzallerliebst	очаровательный
Gespannfahrzeughersteller	производитель упряжных экипажей
Bödder	Бёддер
Actief	Актиф
Lichtspielhaus	кинотеатр
Flott	шустрый
Schnizz	Шницц
Gulasch	гуляш
HNO Arzt	ЛОР-врач
Linear	линейный
Medical	медикал
Television	телевидение
Bürgerhaus	общественный центр
Initiative	инициатива
Landesbetrieb	госпредприятие
Holzhandlung	торговля древесиной
Insulaner	островитянин
Blumenstock	цветочный стенд
Haartreff	парикмахерская
Stahlhaus	стальной дом
Amerikanisches Restaurant	американский ресторан
Fläche	площадка
Tacos	такос
Hebamme	акушерка
Suites	сьюты
Katholisch	католический
Verkaufstraining	тренинг по продажам
Textilkontor	текстильная контора
Erlebnistouren	приключенческие туры
World	ворлд
Schmuckverkauf	продажа ювелирных изделий
Destination	дестинация
Farbtex	Фарбтекс
Intern	внутренний
Einkaufspassage	торговая галерея
Buchdruck	книжная печать
Eventteam	команда по организации мероприятий
Melt	мелт
Mailänder	миланец
Kpwt	КПВТ
Bürgeramt	служба по делам граждан
Polizeidienststelle	отделение полиции
Artefakt	артефакт
Drogeriemarkt	дрогери-маркет
Cosmea	Космеа
Leonar	Леонар
Kehren	подметание
Fußpflege	уход за стопами
Ausstellungsgesellschaft	выставочное общество
Jugenddorf	молодежная деревня
Minigolfverein	клуб мини-гольфа
Coaches	коучи
Veterinärmedizinisches Institut	институт ветеринарной медицины
Heidehof	Хайдехоф
Stadtentwicklung	городское развитие
Speed	скорость
Gräfin	графиня
IT-Recht	IT-право
Call	колл
Außenwerbung	наружная реклама
Katholischer Buchverlag	католическое книжное издательство
Handschuhe	перчатки
Rumors	Руморс
Infektiologie	инфектология
Einhaus	один дом
Wind	ветер
Nlwkn	НЛВКН
Luftaufnahme	аэрофотосъемка
Zooladen	зоомагазин
Parkservice	парковочный сервис
Kukuk	Кукук
Network	нетворк
Sprachenzentrum	языковой центр
Spex	Шпекс
Seehas	Зехас
Landesbrandkasse	Ландесбрандкассе
Assistenzdienst	служба сопровождения
Bewachung	охрана
Geschichtsverein	историческое общество
Landmesser	геодезист
Kinderfriseur	детский парикмахер
Wasser- und Wasserspezialbau	гидротехническое и специальное водное строительство
Gewerbe	промысел
Leaf	Лиф
Detektivbüro	детективное бюро
Forstbetrieb	лесное хозяйство
Magie	магия
Avanta	Аванта
Bläser	духовик
Imam	имам
Rechl	Рехль
Armbrust	арбалет
Möbelhandel	торговля мебелью
Fränkischer	франконский
Hefa	Хефа
Fernheizwerk	теплоэлектроцентраль
Fade	Фейд
Motorradzubehör	мотоаксессуары
Schuhbar	обувной бар
Reataurant	ресторан
Merchandise	мерчандайз
Medwed	Медвед
Kreiswerke	районные коммунальные службы
Operationen	операции
Peun	Пойн
Banco	Банко
Blütezeit	пора цветения
Transit	транзит
Trzeba	Тшеба
Gartengerät kaufen	покупка садовой техники
Levelcut	Левелкат
Sportfabrik	спортивная фабрика
Basics	базовые товары
Allerlei	всякая всячина
Familienpraxis	семейная клиника
Sikken	Зиккен
Planten	Плантен
Schornsteinfeger-Innung	цеховая гильдия трубочистов
Foundry	литейное производство
Oberflächenveredelung	обработка поверхности
Stromversorgung	электроснабжение
Bierbar	пивной бар
Maßschneiderin	портниха
Oldschool	олдскул
Selbstständige Berufsgruppe	самозанятая профессиональная группа
Pizzaheimservice	доставка пиццы
Münzankauf	скупка монет
Unterm	Унтерм
Arzt für Neonatologie	неонатолог
Fahrzeugfolierung	оклейка автомобилей
Felgenreparatur	ремонт дисков
Pflegeakademie	академия ухода
Suchtprävention	профилактика зависимостей
Auktionshaus	аукционный дом
Chariat	Шариат
Regio	Регио
Glückskind	Глюкскинд
Tanzstudio	танцевальная студия
Tiersitting	присмотр за животными
Heimaterde	Хайматэрде
Stückgut	сборный груз
Kunstgewerbe	художественные ремесла
Genc	Генч
Grüntal	Грюнталь
Kindermöbel	детская мебель
Förderband	конвейер
Sehschule	тренировка зрения
Stuff	Стафф
Lederware	кожгалантерея
Salt	Солт
Getriebeservice	сервис коробок передач
Fotogen	Фотоген
Achtum	Ахтум
Jugendpflege	работа с молодежью
Autogarage	автогараж
Rail	Рейл
Frauen-, Gesundheits- und Sozialfachschule	женская, медицинская и социальная профшкола
Bergische	Бергише
Ballroom	бальный зал
Gebrauchtreifen	б/у шины
Bikeshop	веломагазин
Pfingsten	Пфингстен
Schramme	Шрамме
Reuse	верша
Auskunftei	кредитное бюро
Golfschule	школа гольфа
Hundekindergarten	собачий детский сад
Workwear	рабочая одежда
Futtermittel	корма
Keramikwerkstatt	керамическая мастерская
Bachchor	баховский хор
Pfannen	сковороды
Makeup	макияж
Essstörung	расстройство пищевого поведения
Ästhetik	эстетика
Schlossdienst	замочная служба
Familienberatung	семейное консультирование
Carework	Кэруорк
Psychotherapie: Psychologischer Psychotherapeut	психотерапевт
Bürgertreff	центр встреч жителей
Haustechnik	инженерные системы дома
Captain	Капитан
Krisendienst	кризисная служба
Installation	монтаж
Gugg	Гугг
Dessloch	Десслох
Eissport	ледовый спорт
Delivery	доставка
Bürgerberatung	консультация для граждан
Versand von Industriebedarf	поставка промышленных товаров
Flachstahl	листовая сталь
Bärenfamilie	Беренфамилие
Malereibetrieb	малярная компания
Weinwerk	винодельня
Porzelan	фарфор
Röntgenpraxis	рентген-кабинет
